Dons,Src,Conditions,Avantages
Marqué pour punir,AG,Capacité de classe Tueur,Donne la propriété tueur à l'arme d'un allié contre une cible marquée
Marteau béni,ISG,"Capacité à lancer des sorts divins de 3e niveau, maniement du marteau de guerre, suivant de Torag",Utilise un marteau de guerre comme un symbole sacré et pour délivrer des sorts de contact
Marteau bondissant*,MR,"Maniement du marteau, BBA +6",Lancer un marteau et le faire rebondir pour qu'il lui revienne
Marteler la faille*,AG,BBA +6,"Lors d'une attaque à outrance, tous les coups infligés au même adversaire font des dégâts supplémentaires"
Massacre effroyable*,MCA,"Force intimidante, Tuerie fracassante, 11 rangs en Intimidation, tueur de niveau 11",Les créatures démoralisées par une Tuerie fracassante pourraient devenir fiévreuses
Mémoire des formules,MCA,"5 rangs en Art de la magie, capacité de classe souvenir précis","Quand quelqu'un lance un sort, le personnage note sa formule plus tard"
Menace viscérale*,CM,Force intimidante,Utilise l'Intimidation plutôt que le Bluff pour feinter
Mentor inspirant,UI,"Cha 13, représentation bardique inspiration talentueuse",Inspiration talentueuse affecte tous les alliés dans un rayon de 9 m
Mentor omniprésent,UI,"Cha 17, Mentor inspirant, représentation bardique inspiration talentueuse",Inspiration talentueuse affecte un allié pendant 24 heures
Messager de l'espoir,D&M,"Capacité de classe canalisation d'énergie, Science de la canalisation, suivant de Sarenraé",Allège l'état de peur des créatures soignées par la canalisation d'énergie positive
Messager du destin,ISG,"Capacité à lancer augure, suivant de Pharasma",Lance les sorts de divination avec un NLS supérieur de 1 et augmente les chances d'obtenir des informations correctes
Mesurer l'ennemi*,UI,"Débrouillardise, BBA +1",Évalue les capacités d'un adversaire en combat pour gagner des avantages
Métacinétique étendue,MTT,Capacités de classe explosion cinétique et métacinétique,Applique les effets d'un don de métamagie aux explosions cinétiques lancées
Métamagie spontanée,AM,"Cha 13, un don de métamagie, capacité à lancer des sorts spontanés",Applique un don de métamagie à un sort qui conserve son temps d'incantation normal
Meurs pour ton maître,AM,Découverte d'alchimiste familier tumeur,Le familier tumeur meurt à la place de son maître
Meurtre silencieux*,MCA,12 rangs en Discrétion; talent de tueur ou astuce de maître ninja assassinat,Le personnage tue lors du round de surprise et se refond dans les ombres
Modèle draconique,MR,"Aspect draconique, Souffle draconique, Plané draconique, personnage de niveau 10, kobold","Le kobold gagne un bonus supplémentaire de +2 contre les effets de sommeil et de paralysie. Il peut utiliser son souffle deux fois par jour et les dégâts de celui-ci montent à 4d6 points de dégâts d’énergie. Les ailes qu’il obtient de son don Plané draconique deviennent plus puissantes, lui accordant une vitesse de vol de 6 mètres (manoeuvrabilité moyenne)."
Modification de paysage mental binaire,AO,"Int 13, capacité à lancer lancer un duel psychique",L'adversaire doit dépenser 1 point de manifestation de plus pour se défendre
Monstre invoqué évolué,MCA,"Amélioration des créatures convoquées, École renforcée (invocation), capacité à lancer convocation de monstres I",Le monstre invoqué gagne une évolution d'eidolon à 1 point
Monte de slurk*,CM,Kobold,Le personnage peut monter un slurk
Monture de taille inférieure*,MCA,1 rang en Équitation,Le personnage peut chevaucher des créatures de même taille que lui
Monture indomptable*,CSU,"Combat monté, 5 rangs en Dressage, 5 rangs en Équitation, affinité avec le Dernier Rempart",Fait des tests d'Équitation à la place des jets de sauvegarde de la monture
Morsure à la cheville*,MR,"Gobelin, 1 rang en Évasion",Attaque de morsure gratuite quand le personnage est la cible d'une manœuvre offensive
Morsure du trompeur*,RSE,Science du combat à mains nues,Inflige 1d4 points de dégâts de saignement avec les attaques à mains nues
Morsure suprême*,CM,"BBA +6, attaque de morsure, pouvoir éventration, troll",Augmente la zone de critique de l'attaque de morsure en éventrant la cible
Mort silencieuse*,UI,"Dex 19, 10 rangs en Discrétion, roublard de niveau 10",Dispose des adversaires avant même qu'ils ne fassent un bruit
Mort venue du ciel*,AG,—,Bonus de +5 aux jets d'attaque quand le personnage charge depuis une position surélevée ou vole
Mot de guérison,AM,Capacité de classe imposition des mains,Imposition des mains à distance
Motivation pour la marche,CM,—,Réduit les dégâts subits lors du commandement d'une marche forcée
Mur de boucliers canalisé,AM,"Canalisation d'énergie 3d6, maniement d'un bouclier",Améliore le bouclier et celui des alliés adjacents
Murmures de la terre,MR,"Échos de la pierre, personnage de niveau 9, oréade",Gain d'une perception des vibrations limitée
Musique flamboyante,AM,"5 rangs en Art de la magie, capacité à lancer des sorts de barde et un sort du registre du feu d'une autre classe de lanceur de sorts","Remplace les dégâts du sort de barde par des dégâts de feu, les monstres convoqués gagnent des attaques de feu"
Nage rapide,CM,"Homme-lézard, vitesse de nage","La vitesse de nage augmente de 4,50 mètres."
Naissance solitaire,MR,Orque,Gagne des points de vie temporaires en tuant ou en rendant inconsciente une créature
Né du froid,CM,Géant du froid,Les attaques naturelles du personnage infligent des dégâts de froid
Négociateur diabolique,ISG,"Talent (Diplomatie), suivant d'Asmodéus",Les tests de Diplomatie sont basés sur l'Intelligence ou la Sagesse
Négociateur menaçant,UI,"Négociateur stressant, Persuasion, Talent (Intimidation)",Augmente la durée de l'intimidation de 2d6 heures
Négociateur stressant,UI,Persuasion,Les cibles d'une Intimidation ne se retournement pas contre le personnage à long terme
Ni elfe ni humain,MR,"Voie de l'exilé, Visible et invisible, personnage de niveau 11, demi-elfe",Ingnore les effets qui se comportent différemment sur les elfes et les humains
Noble rejeton,CCMI,"Cha 13, personnage de niveau 1 uniquement","Le personnage gagne un bonus de +2 aux tests de Connaissances (noblesse) et considère toujours cette compétence comme une compétence de classe.

Quand le personnage choisit ce don, il choisit aussi un des bénéfices indiqués ci-dessous, en accord avec l’histoire de sa famille. Il doit en discuter avec son MJ pour s’assurer que son choix est approprié."
Noble résistance à la magie,MR,"Cha 13, Sag 13, Noblesse drow supérieure, personnage de niveau 13, drow",Améliore la résistance à la magie
Noblesse drow,MR,"Capacité à utiliser des pouvoirs magiques drow, drow",Améliore les pouvoirs magiques raciaux
Noblesse drow supérieure,MR,"Cha 13, Noblesse drow, Science de la noblesse drow, capacité à lancer des pouvoirs magiques drow, drow","Le pouvour magique de détection de la magie devient constant, gein de nouveaux pouvoirs magiques"
Nordique,CCMI,"Con 13, 1 rang en Survie","Diminue les effets des engelures, de l'hypothermie et du froid extrême"
Obédience divine,ISG,"3 rangs en Connaissances (religion), doit vénérer une divinité",Gain de pouvoirs magiques et d'autres capacités au prix d'une obédience quotidienne
Obédience fiélonne,BD,"3 rangs en Connaissances (religion) ; suivant d'une divinité, d'un demi-dieu ou d'une quasi divinité fiélonne",Accès aux faveurs d'exalté d'une divinité fiélonne
Odorat supérieur,MJRA,"Sag 13, demi-orque, ou orque",Gagne la capacité spéciale d'odorat
OEil du charognard,MR,Tengu,"Identifie rapidement l'objets avec le plus de valeur dans un trésor, +2 aux tests d'Estimation"
Œil du juge,AM,"Capacité de classe détection d'alignement, NLS 6",Détermine l'alignement exact de la cible après 3 rounds d'observation
Œil malveillant,MR,"Maléfice mauvais oeil, trait racial porte-poisse halfelin",Le personnage combine les effets de son mauvais œil avec ceux de sa malédiction
Œil mystique,CCMI,"4 rangs en Connaissances (mystères), capacité à lancer des sorts profanes",Gagne un troisième œil avec des pouvoirs magiques
Ombre druidique,CCMI,"Alignement Neutre Mauvais, suivant du Zon-Kuthon",Ajoute de sinistres sorts à la liste de sorts du druide
Ombres de la peur*,UI,Attaque sournoise 2d6 ou frappe cachée +2d8,Prend en tenaille une créature apeurée une fois par round
Optimisation de la frappe magique,AG,"Arcane de magus optimisation de la magie, capacité de classe expertise martiale ou Arme en main",Optimise la frappe magique en dépensant 3 points de réserve magique
Oracle du péché,AM,Capacité de classe détection des morts-vivants,Capacité à détecter le mal
Orateur,MCA,Talent (Linguistique),"Utilisation de Linguistique plutôt que Bluff, Diplomatie et Intimidation pour certains tests"
Orateur prudent,CCMI,Sag 13,Bonus de +2 à certains tests de Bluff et jets de Volonté
Oréade nageur de terre,MR,"Fouisseur oréade, Semelle de pierre, personnage de niveau 13, oréade",Gain de la capacité nage dans la terre
Palpation curative supplémentaire,AO,Capacité de classe palpation curative,Utilisation de palpation curative 2 fois de plus par jour
Par-dessus et par-dessous*,MJRA,"Manoeuvres agiles, taille P ou plus petit",Les créatures qui tentent et ratent une lutte contre le personnage tombent à terre
Parade cinétique,AO,"Explosion simple de froid, de feu ou d'eau; capacité de classe explosion cinétique",Utilisation d'explosion cinétique pour contrer un élément opposé
Parade de projectiles*,MJ,"Dex 13, Science du combat à mains nues",Évite une attaque à distance/round
Parade de sorts,MJRA,"15 rangs en Art de la magie, Science du contresort",Renvoyer un sort contré vers le lanceur
Parangon demi-drow,MR,"Traits raciaux sang de drow et magie drow, demi-elfe",Le personnage est traité comme un drow pour les effets qui se comportent différement avec eux
Parle-esprit,MCA,Capacité de classe maléfice; chaman ou sorcière de niveau 6,Le personnage communie avec un esprit pour gagner une utilisation temporaire de l'un de ses maléfices
Pas aérien,MR,Sylphe,Le sylphe gagne un bonus de +2 à ses jets de sauvegarde contre les effets du registre air ou électricité et contre les effets infligeant des dégâts d’électricité. Il peut ignorer les 9 premiers mètres de n’importe quelle chute lorsqu’il doit déterminer les dégâts qu’il reçoit d’une chute.
Pas de côté*,MJRA,"Dex 13, Esquive, Souplesse du serpent","Faire un pas de placement de 1,50 m (1 case) juste après une attaque ennemie ratée"
Pas de géant,MR,"Duergar, trait racial lentement mais surement",Augemente la vitesse de base du personnage quand sa taille est augmentée
Pas léger,MJRA,"Déplacement acrobatique, Aisance, elfe",Se déplacer de sa Vitesse de déplacement normale sur un terrain difficile
Passer pour un humain,MJRA,"Demi-elfe, demi-orque, ou halfelin (voir texte)","Lorsque le personnage se déguise en humain , il reçoit un bonus de +10 au test de Déguisement et le fait de se déguiser en une créature d’une autre race ne lui impose aucune pénalité. Dans les zones colonisées par les humains ou à forte population humaine, il peut prendre 10 sur ses jets de Déguisement, ce qui signifie que la plupart des gens pensent qu’il est humain, à moins qu’on ne leur donne une raison d’en douter."
Patrouille en combat*,MJRA,"Attaques réflexes, Souplesse du serpent, BBA +5",Augmente la zone contrôlée pour les attaques d'opportunité
Peau d'eau,MR,Ondin,Éteint les feux d'un simple contact
Peau de fer,MJRA,"Con 13; nain, demi-orque, ou orque",Bonus d'armure naturelle de +1 à la CA
Pedigree de commandant,CM,Hobgobelin,Ajoute le niveau de classe aux tests de Moral pendant un combat de masse
Pèlerinage religieux,RSE,"2 rangs en Connaissances (géographie), 4 rangs en Connaissances (religion)","Bonus à la Volonté, la Diplomatie, et la Survie. Achète les objets non-magiques religieux moins cher"
Perception de la peur,MJRA,"Odorat supérieur, demi-orque ou orque","Le personnage reçoit un bonus de +4 aux tests de Perception pour détecter les créatures affectées par un état préjudiciable parmi secoué , effrayé et paniqué . Il peut également utiliser sa compétence de Perception pour effectuer les tests de Psychologie contre les cibles possédant l’un de ces états préjudiciables ou tentant de camoufler leur peur d’une manière ou d’une autre."
Perception des esprits,AO,Sensibilité psychique ou capacité à lancer des sorts psychiques,"Le personnage gagne un bonus de +5 aux tests pour remarquer les apparitions. De plus, quand il vise une créature intangible avec un sort ou un effet tangible qui n’inflige pas de points de dégâts, il a 75 % de chances d’affecter la cible."
